"einfuehrungsphase";"jahreszeit";"wetter";"arbeitstag";"temperatur";"windgeschwindigkeit";"luftfeuchtigkeit";"vermietungen"
"Nein";"Sommer";"Nicht gut";"Ja";23,69;15,19;73,61;4127
"Nein";"Sommer";"Gut";"Ja";26,48;10,24;44,02;8173
"Nein";"Winter";"Gut";"Ja";4,6;10,24;58,51;3783
"Nein";"Frühling";"Gut";"Ja";12,94;25,82;50,01;5557
"Ja";"Herbst";"Nicht gut";"Nein";23,82;11,9;82,32;3350
"Ja";"Sommer";"Nicht gut";"Ja";22,99;8,38;68,01;4709
"Ja";"Frühling";"Gut";"Ja";12,93;16,6;53;4609
"Ja";"Herbst";"Gut";"Nein";18,16;1,49;70,82;5117
"Ja";"Frühling";"Gut";"Ja";4,74;13,25;53,06;1851
"Nein";"Winter";"Gut";"Nein";1,14;13,67;38,37;2494
"Nein";"Sommer";"Gut";"Ja";29,04;8,66;48,5;6787
"Nein";"Sommer";"Gut";"Ja";26,73;11,75;49,94;7286
"Nein";"Frühling";"Gut";"Ja";14,49;15,7;46,15;5918
"Nein";"Sommer";"Gut";"Nein";18,88;12,12;59,99;8121
"Ja";"Winter";"Gut";"Nein";5,59;13,51;47,49;1813
"Nein";"Frühling";"Gut";"Ja";14,9;7,48;32,93;6773
"Nein";"Sommer";"Gut";"Ja";25;11,42;43,83;7736
"Ja";"Frühling";"Gut";"Ja";4,45;14,3;28,54;2030
"Nein";"Sommer";"Nicht gut";"Ja";25,41;13,5;91,14;4973
"Ja";"Sommer";"Gut";"Ja";26,01;9,58;57,75;4585
"Nein";"Sommer";"Gut";"Nein";28,11;8,11;48,28;6597
"Ja";"Frühling";"Nicht gut";"Nein";10,72;18,33;70,52;2076
"Nein";"Herbst";"Gut";"Ja";19;11,23;72,64;8168
"Nein";"Winter";"Nicht gut";"Nein";3,6;11,27;64,04;2947
"Ja";"Winter";"Gut";"Ja";12,83;14,79;45,04;2472
"Ja";"Frühling";"Nicht gut";"Ja";11,14;17,91;75,99;2161
"Ja";"Herbst";"Gut";"Nein";8,67;6,57;77,93;3649
"Nein";"Sommer";"Nicht gut";"Nein";23,9;4,27;64,77;4551
"Nein";"Herbst";"Gut";"Ja";25,83;11,16;74;7112
"Nein";"Sommer";"Nicht gut";"Ja";25,79;17,22;65,39;5786
"Nein";"Herbst";"Schlecht";"Ja";22,48;7,5;98,21;4638
"Nein";"Herbst";"Nicht gut";"Ja";21,5;9,15;76,03;7393
"Nein";"Sommer";"Nicht gut";"Ja";27,22;7,79;73,27;7271
"Nein";"Sommer";"Gut";"Nein";28,64;8,59;55,94;7404
"Nein";"Herbst";"Gut";"Ja";8,13;2,89;48,98;5088
"Ja";"Sommer";"Gut";"Ja";28,75;9,31;53,84;4603
"Nein";"Sommer";"Gut";"Ja";28,07;7,87;53,96;6213
"Ja";"Sommer";"Gut";"Ja";24,85;12,8;73,61;4338
"Nein";"Herbst";"Gut";"Nein";16,43;16,32;67,7;7966
"Ja";"Sommer";"Gut";"Ja";27,05;10,03;72,52;4342
"Ja";"Frühling";"Gut";"Ja";11,41;11,03;61,1;3141
"Nein";"Winter";"Schlecht";"Nein";3,24;18,22;71,83;2169
"Nein";"Herbst";"Gut";"Ja";21,62;8,77;52,84;7871
"Ja";"Sommer";"Nicht gut";"Ja";25,93;6,88;62,68;3574
"Ja";"Herbst";"Nicht gut";"Ja";17,87;13,36;73,72;4195
"Ja";"Sommer";"Gut";"Ja";21,21;10,29;54,41;5895
"Nein";"Frühling";"Gut";"Ja";12,98;14,05;65,24;4990
"Ja";"Frühling";"Gut";"Ja";7,2;21,21;47,59;2134
"Ja";"Frühling";"Nicht gut";"Nein";7,34;13,15;63,39;2252
"Nein";"Sommer";"Gut";"Ja";22,88;5,83;63,08;7007
"Ja";"Herbst";"Gut";"Ja";5,4;11,47;38,33;3392
"Ja";"Frühling";"Gut";"Nein";15,81;5,6;58,15;4332
"Ja";"Sommer";"Nicht gut";"Nein";28,74;5,13;61,35;6043
"Ja";"Frühling";"Gut";"Nein";19,88;7,11;61,96;5806
"Nein";"Sommer";"Gut";"Ja";28,35;11,04;74,66;6785
"Nein";"Herbst";"Nicht gut";"Ja";11,06;13,73;75,66;6392
"Nein";"Frühling";"Gut";"Ja";3,06;14,54;42,46;3955
"Nein";"Frühling";"Gut";"Nein";24,41;12,86;64,6;6589
"Ja";"Winter";"Nicht gut";"Ja";12,87;17,73;83,4;1445
"Ja";"Herbst";"Nicht gut";"Ja";21,45;17,64;76,47;3659
"Nein";"Frühling";"Gut";"Nein";6,87;23,37;34,82;3424
"Nein";"Herbst";"Nicht gut";"Ja";9,85;7,43;72,11;5634
"Ja";"Sommer";"Gut";"Ja";23,67;11,8;60,74;5536
"Nein";"Winter";"Nicht gut";"Ja";4,94;9,49;61,89;3830
"Ja";"Sommer";"Nicht gut";"Nein";22,31;13,66;77,97;3820
"Nein";"Herbst";"Gut";"Nein";6,73;3,03;52,75;2426
"Ja";"Sommer";"Gut";"Ja";25,45;13,45;47,29;5515
"Nein";"Frühling";"Gut";"Nein";14,97;17,17;23,95;5169
"Nein";"Frühling";"Gut";"Ja";11,15;21,83;53,84;5936
"Ja";"Herbst";"Gut";"Ja";7,84;9,49;69;3671
"Nein";"Herbst";"Gut";"Nein";21,56;19,07;68,71;8396
"Nein";"Frühling";"Gut";"Ja";10,63;23,89;54,51;4916
"Nein";"Winter";"Gut";"Nein";7,97;12,52;74,89;2295
"Nein";"Herbst";"Nicht gut";"Ja";9,66;14,68;53,58;5498
"Nein";"Herbst";"Gut";"Ja";8,88;11,14;45,51;5699
"Nein";"Winter";"Gut";"Ja";10,28;17,96;40,87;4508
"Ja";"Sommer";"Nicht gut";"Ja";26,44;16,84;71,56;4791
"Ja";"Frühling";"Schlecht";"Nein";12,82;22,2;83;795
"Nein";"Winter";"Gut";"Ja";11,02;15,69;57,9;4773
"Ja";"Winter";"Schlecht";"Ja";2,52;18,45;83,07;507
"Nein";"Sommer";"Nicht gut";"Ja";18,4;11,32;76,61;5098
"Nein";"Sommer";"Gut";"Nein";28,03;10,89;74,95;6030
"Ja";"Herbst";"Nicht gut";"Ja";21,46;3,11;103,61;2395
"Ja";"Sommer";"Nicht gut";"Nein";23,44;12,78;77,18;4150
"Ja";"Winter";"Nicht gut";"Ja";4,62;17,96;76,7;1527
"Ja";"Sommer";"Nicht gut";"Ja";24,84;14,98;70,43;4041
"Ja";"Frühling";"Gut";"Ja";1,72;22,72;51,24;1872
"Ja";"Frühling";"Gut";"Nein";3,63;14,98;34,82;2494
"Nein";"Herbst";"Gut";"Ja";21,38;5,42;58,22;7694
"Nein";"Frühling";"Gut";"Ja";16,34;11,43;64,97;7290
"Nein";"Herbst";"Gut";"Ja";20,33;4,34;62,64;7804
"Ja";"Herbst";"Gut";"Ja";15,19;8,8;74,93;3868
"Nein";"Herbst";"Nicht gut";"Nein";10,08;10,46;62,17;3509
"Nein";"Frühling";"Nicht gut";"Nein";11,68;12,31;61,71;4065
"Ja";"Frühling";"Gut";"Ja";13,35;7;44,76;3267
"Ja";"Frühling";"Nicht gut";"Ja";4,51;17,08;76,92;1865
"Ja";"Winter";"Gut";"Nein";6,23;17,39;41,59;1590
"Ja";"Frühling";"Gut";"Ja";16,97;10,57;49,83;4363
"Nein";"Winter";"Gut";"Nein";-1,94;27,41;46,65;1528
"Nein";"Sommer";"Nicht gut";"Ja";27,31;15,32;63,02;7176
"Ja";"Herbst";"Gut";"Nein";15,86;19,53;45,66;5042
"Nein";"Winter";"Nicht gut";"Ja";6,02;10,85;78,59;5010
"Ja";"Frühling";"Gut";"Ja";20,34;9,47;81,36;4073
"Ja";"Frühling";"Nicht gut";"Ja";12,57;17,6;71,5;2076
"Nein";"Winter";"Gut";"Ja";7,83;9,26;53,68;4375
"Ja";"Sommer";"Nicht gut";"Ja";28,92;14,25;74,37;3782
"Ja";"Frühling";"Nicht gut";"Nein";14,14;8,68;84,51;3407
"Ja";"Herbst";"Gut";"Ja";18,31;10,87;64,54;4826
"Ja";"Frühling";"Gut";"Ja";1,25;15,77;23,73;1685
"Ja";"Herbst";"Gut";"Ja";10,58;9,4;71,2;4067
"Ja";"Winter";"Gut";"Nein";2,31;4,42;68,03;1097
"Ja";"Winter";"Nicht gut";"Ja";7,24;4,12;73,26;3740
"Nein";"Sommer";"Nicht gut";"Nein";26,12;8,65;61,36;6968
"Ja";"Winter";"Gut";"Nein";13,47;14,14;59,73;2487
"Ja";"Winter";"Gut";"Nein";6,43;15,12;60,44;1317
"Ja";"Winter";"Nicht gut";"Ja";0,47;3,6;82,5;1361
"Ja";"Frühling";"Gut";"Nein";23,3;14,18;67,94;4757
"Nein";"Frühling";"Gut";"Ja";10,26;15,04;30,17;6457
"Nein";"Herbst";"Gut";"Ja";16,86;15,48;48,2;7537
"Ja";"Herbst";"Gut";"Nein";6,53;11,87;56,41;3330
"Nein";"Sommer";"Gut";"Nein";27,43;10,09;58,49;6597
"Ja";"Sommer";"Gut";"Ja";23,33;8,16;54,62;4634
"Ja";"Sommer";"Gut";"Ja";21,91;21,04;44,92;5020
"Ja";"Sommer";"Gut";"Nein";25,54;16,25;59,27;5301
"Ja";"Herbst";"Nicht gut";"Ja";23,53;9,13;84,75;3908
"Ja";"Sommer";"Nicht gut";"Ja";24,92;13,98;69,08;4576
"Ja";"Herbst";"Gut";"Ja";23,26;8,94;76,85;4763
"Nein";"Frühling";"Gut";"Ja";14,7;12,52;45,63;5299
"Nein";"Winter";"Gut";"Nein";4,11;13,87;45,17;3388
"Ja";"Sommer";"Nicht gut";"Nein";24,79;15,29;67,38;4651
"Ja";"Frühling";"Gut";"Ja";16,34;7,52;65,09;4184
"Ja";"Winter";"Nicht gut";"Nein";0,9;11,73;48,55;1249
"Nein";"Herbst";"Nicht gut";"Ja";16,78;8,8;72,08;7358
"Ja";"Sommer";"Gut";"Ja";23,73;17,26;64,29;5131
"Ja";"Sommer";"Nicht gut";"Ja";23,86;8,96;70,55;4153
"Nein";"Winter";"Gut";"Nein";9,7;12,18;56,2;4317
"Ja";"Herbst";"Gut";"Ja";15,11;9,1;61,72;4766
"Ja";"Winter";"Nicht gut";"Nein";-1,1;17,04;45,1;957
"Ja";"Sommer";"Gut";"Nein";24,81;11,46;67,84;4966
"Ja";"Herbst";"Gut";"Nein";13,19;8,72;59,2;4305
"Ja";"Frühling";"Nicht gut";"Ja";12,06;21,39;68,62;2632
"Ja";"Herbst";"Schlecht";"Ja";17,53;22,1;93,79;2708
"Nein";"Sommer";"Gut";"Ja";25,8;7,21;56,68;7605
"Ja";"Winter";"Gut";"Ja";0,66;18,38;40,61;1550
"Ja";"Herbst";"Nicht gut";"Ja";17,54;6,04;70,71;4748
"Nein";"Herbst";"Gut";"Ja";6,51;14,5;56,85;5496
"Ja";"Herbst";"Gut";"Nein";6,36;15,72;54,18;3664
"Ja";"Sommer";"Nicht gut";"Nein";22,96;26,02;84,26;1116
"Nein";"Winter";"Gut";"Ja";8,48;11,8;48,78;4171
"Nein";"Winter";"Gut";"Nein";10,42;11,14;62,35;4521
"Ja";"Frühling";"Gut";"Ja";12,04;14,97;62,91;2743
"Nein";"Frühling";"Nicht gut";"Ja";24,14;10,79;66,15;6853
"Nein";"Herbst";"Gut";"Ja";16,37;7,77;53,74;7435
"Nein";"Frühling";"Gut";"Ja";16,01;23,19;32,66;5586
"Ja";"Winter";"Gut";"Nein";4,1;13,41;60,88;1010
"Nein";"Winter";"Gut";"Nein";6,12;14,94;30,64;3243
"Ja";"Sommer";"Gut";"Ja";28,04;14,08;50,21;4258
"Ja";"Herbst";"Nicht gut";"Ja";17;9,84;85,02;3642
"Nein";"Herbst";"Gut";"Nein";6,73;12,49;54,42;5107
"Nein";"Frühling";"Gut";"Ja";16,95;21,52;57,04;6571
"Nein";"Frühling";"Gut";"Nein";13,39;19,46;23,88;6857
"Ja";"Winter";"Gut";"Ja";0,11;7,06;77,27;432
"Ja";"Sommer";"Gut";"Ja";26,63;7,91;79,82;4332
"Ja";"Winter";"Nicht gut";"Nein";5,51;20,4;65,78;1107
"Ja";"Sommer";"Gut";"Ja";21,02;12,95;44,99;5180
"Ja";"Frühling";"Gut";"Nein";14,38;15,99;58,56;5313
"Ja";"Winter";"Nicht gut";"Ja";11,27;17,16;62,63;3709
"Ja";"Sommer";"Gut";"Nein";26,94;10,99;56,85;5336
"Nein";"Winter";"Nicht gut";"Nein";8,57;9,85;91,15;3228
"Nein";"Frühling";"Nicht gut";"Nein";9,32;7,93;43,82;4221
"Nein";"Frühling";"Nicht gut";"Ja";20,56;8,42;77,33;6072
"Ja";"Frühling";"Gut";"Ja";28,12;7,9;61,73;3983
"Nein";"Herbst";"Nicht gut";"Ja";19,32;25,95;85,51;4072
"Ja";"Herbst";"Nicht gut";"Ja";22,43;8,47;85,3;3543
"Nein";"Winter";"Gut";"Nein";3,86;10,62;56,95;1788
"Nein";"Sommer";"Gut";"Ja";28,49;12,28;50,29;7350
"Nein";"Winter";"Gut";"Ja";11,94;22,38;48,52;5730
"Nein";"Herbst";"Nicht gut";"Ja";24,22;8,38;74,42;6202
"Nein";"Frühling";"Nicht gut";"Ja";20,51;10,38;77;5115
"Nein";"Winter";"Gut";"Ja";1,76;11,05;40,19;3422
"Ja";"Frühling";"Schlecht";"Ja";11,83;17,53;3,88;625
"Nein";"Herbst";"Gut";"Ja";8,32;22,46;26,19;5314
"Ja";"Sommer";"Gut";"Nein";26,07;7,82;47,51;5120
"Ja";"Herbst";"Gut";"Ja";21,99;4,58;71,96;4713
"Nein";"Frühling";"Nicht gut";"Ja";16,92;6,41;82,45;6231
"Nein";"Winter";"Nicht gut";"Ja";8,21;12,4;75,09;1835
"Ja";"Herbst";"Nicht gut";"Ja";9,62;13,55;87,69;2933
"Ja";"Herbst";"Nicht gut";"Nein";20,22;3,8;82,18;5424
"Ja";"Winter";"Gut";"Ja";6,42;14,86;47,43;3727
"Ja";"Winter";"Gut";"Ja";-2,02;13,74;50,38;1538
"Ja";"Frühling";"Gut";"Nein";12,14;16,33;65,32;3128
"Ja";"Winter";"Nicht gut";"Ja";7,19;10,96;74,7;1163
"Nein";"Herbst";"Schlecht";"Ja";15,23;24,86;84,18;23
"Nein";"Winter";"Nicht gut";"Ja";5,21;8,59;80,69;2177
"Nein";"Winter";"Nicht gut";"Ja";3,23;5,66;68,76;2375
"Ja";"Frühling";"Nicht gut";"Nein";11,47;8,8;95,26;2895
"Nein";"Winter";"Nicht gut";"Nein";4,36;6,08;83,14;2831
"Nein";"Sommer";"Gut";"Ja";27,47;9,39;68,71;6916
"Nein";"Herbst";"Gut";"Ja";8,51;7,05;65,69;5146
"Ja";"Herbst";"Schlecht";"Ja";20,08;13,42;95,1;1843
"Nein";"Winter";"Gut";"Ja";6,38;10,14;63,57;5266
"Ja";"Frühling";"Gut";"Ja";5,92;7,36;40,15;2133
"Nein";"Herbst";"Nicht gut";"Ja";22,83;10,41;60,45;7415
"Nein";"Sommer";"Nicht gut";"Ja";27,58;8,78;67,66;7534
"Ja";"Winter";"Nicht gut";"Nein";10,21;10,98;85,11;987
"Ja";"Frühling";"Gut";"Ja";26,39;12,91;66,77;4679
"Nein";"Frühling";"Nicht gut";"Nein";15,74;8,12;78,39;7836
"Nein";"Sommer";"Gut";"Ja";19,06;10,77;51,77;7492
"Nein";"Winter";"Schlecht";"Ja";3,83;22,52;78,12;441
"Nein";"Herbst";"Gut";"Ja";8,25;15,16;49,4;5991
"Ja";"Winter";"Gut";"Ja";0,41;23,8;45,95;1544
"Nein";"Herbst";"Gut";"Nein";19,42;7,98;61,92;7334
"Nein";"Frühling";"Gut";"Ja";16,5;4,6;51,94;6565
"Nein";"Herbst";"Gut";"Ja";25,91;13,1;73,7;7503
"Nein";"Herbst";"Gut";"Nein";5,26;23,75;49,99;2277
"Nein";"Sommer";"Gut";"Ja";26,24;5,04;66,45;7374
"Ja";"Frühling";"Nicht gut";"Ja";6,13;11,7;75,89;1537
"Nein";"Sommer";"Nicht gut";"Ja";26,48;7,26;57,2;7499
"Nein";"Frühling";"Nicht gut";"Nein";12,52;15,47;86,21;4995
"Ja";"Frühling";"Gut";"Nein";10,15;10,75;55,33;3247
"Ja";"Frühling";"Gut";"Ja";5,46;14,66;46,99;2210
"Nein";"Sommer";"Nicht gut";"Ja";15,54;13,94;59,98;7002
"Nein";"Winter";"Nicht gut";"Ja";-3,59;11,58;34,69;2369
"Nein";"Sommer";"Gut";"Ja";23,94;23,17;32,45;7441
"Ja";"Sommer";"Gut";"Nein";24,73;21,3;59,68;4334
"Ja";"Frühling";"Nicht gut";"Ja";18,86;18,86;75,29;4123
"Nein";"Herbst";"Nicht gut";"Ja";8,03;22,42;72,5;4095
"Nein";"Herbst";"Gut";"Ja";16,42;9,89;59,48;7719
"Ja";"Winter";"Gut";"Ja";2,12;24,18;55,92;1529
"Ja";"Frühling";"Nicht gut";"Ja";15,41;9,67;65,57;3204
"Nein";"Winter";"Gut";"Nein";0,93;15,5;49,08;2296
"Ja";"Frühling";"Gut";"Ja";7,96;9,62;48,42;2045
"Nein";"Herbst";"Gut";"Nein";10,19;4,93;64,56;6537
"Nein";"Sommer";"Gut";"Ja";25,53;9,01;55,24;6884
"Ja";"Herbst";"Nicht gut";"Ja";20,9;9,08;91,81;4795
"Ja";"Sommer";"Gut";"Ja";29,12;11,76;46,3;4657
"Nein";"Frühling";"Gut";"Ja";25,41;13,39;47,49;7340
"Ja";"Herbst";"Gut";"Ja";16,19;22,33;68,07;4487
"Nein";"Sommer";"Gut";"Nein";31,75;8,28;54,61;4672
"Nein";"Winter";"Gut";"Ja";-0,24;25,69;44,71;2236
"Ja";"Winter";"Gut";"Ja";1,52;13,84;60,97;1449
"Nein";"Herbst";"Gut";"Nein";20,28;14,9;57,31;8226
"Ja";"Sommer";"Nicht gut";"Ja";28,7;13,23;68,39;3975
"Nein";"Herbst";"Nicht gut";"Ja";18,16;19,12;82,99;5874
"Nein";"Sommer";"Gut";"Nein";24,01;10,54;59,31;7865
"Nein";"Frühling";"Gut";"Ja";17,45;10,7;72,91;6153
"Nein";"Winter";"Nicht gut";"Nein";9,14;5,92;87,61;3786
"Nein";"Winter";"Nicht gut";"Ja";2,72;9,74;49,53;3094
